ticker,thread_id,forms_in_thread,normalized_forms_in_thread,accession_count,filing_count,extracted_text_count,ok_extraction_count,file_count,byte_count,has_company_submissions,submission_archive_count,sample_start_date,sample_end_date
A,A_0000000000-16-092800,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,184294,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-18-013671,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,172884,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-20-009552,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",8,8,8,8,26,216101,True,1,2016-01-01,2026-04-28
ABBV,ABBV_0000000000-22-010309,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,88583,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-17-044885,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,174238,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-20-007987,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,151866,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-21-013296,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,79225,True,1,2016-01-01,2026-04-28
ADM,ADM_0000000000-24-005934,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",10,10,10,10,32,298074,True,1,2016-01-01,2026-04-28
ADSK,ADSK_0000000000-17-022741,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,168052,True,0,2016-01-01,2026-04-28
ADSK,ADSK_0000000000-18-024031,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",9,9,9,9,29,445955,True,0,2016-01-01,2026-04-28
AFL,AFL_0000000000-16-074172,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,481008,True,1,2016-01-01,2026-04-28
AFL,AFL_0000000000-17-014838,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,171834,True,1,2016-01-01,2026-04-28
AFL,AFL_0000000000-23-008707,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,39336,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-16-075772,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,266795,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-16-102009,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,35784,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-22-012653,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,37946,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-24-002978,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,170402,True,1,2016-01-01,2026-04-28
AJG,AJG_0000000000-24-010451,UPLOAD,STAFF_LETTER,1,1,1,1,5,30380,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-17-014470,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,647716,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-18-011843,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,457701,True,1,2016-01-01,2026-04-28
ALL,ALL_0000000000-21-003670,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,178276,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-16-074877,"UPLOAD, UPLOAD, CORRESP","STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE",3,3,3,3,11,171929,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-18-008426,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,164604,True,1,2016-01-01,2026-04-28
AMT,AMT_0000000000-23-002236,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,120090,True,1,2016-01-01,2026-04-28
AON,AON_0000000000-17-045347,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,249569,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-18-025493,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,128662,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-19-006947,UPLOAD,STAFF_LETTER,1,1,1,1,5,34698,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-20-004858,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,89061,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-22-013878,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,163679,True,0,2016-01-01,2026-04-28
AON,AON_0000000000-24-003147,"UPLOAD, CORRESP, CORRESP, CORRESP","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE",4,4,4,4,14,115881,True,0,2016-01-01,2026-04-28
APP,APP_0000000000-20-012628,"UPLOAD, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP, CORRESP","STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE",9,9,9,9,29,413573,True,0,2016-01-01,2026-04-28
APP,APP_0000000000-21-013958,"UPLOAD, CORRESP, CORRESP, CORRESP","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE",4,4,4,4,14,105923,True,0,2016-01-01,2026-04-28
AVY,AVY_0000000000-18-009394,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,91543,True,0,2016-01-01,2026-04-28
AVY,AVY_0000000000-23-003698,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,95727,True,0,2016-01-01,2026-04-28
BBY,BBY_0000000000-16-088191,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,229072,True,1,2016-01-01,2026-04-28
BKR,BKR_0000000000-17-014455,"UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE",5,5,5,5,17,454424,True,0,2016-01-01,2026-04-28
BKR,BKR_0000000000-18-030596,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,92410,True,0,2016-01-01,2026-04-28
BKR,BKR_0000000000-24-008308,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,136326,True,0,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-16-092092,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,295003,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-17-008779,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",7,7,7,7,23,913004,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-19-008277,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,186643,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-21-008029,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,75233,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-22-009598,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,71664,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-23-008134,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,70422,True,1,2016-01-01,2026-04-28
BRK-B,BRK-B_0000000000-24-009131,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,73116,True,1,2016-01-01,2026-04-28
BRO,,,,0,0,0,0,1,302553,True,0,,
BSX,BSX_0000000000-16-070496,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,253359,True,1,2016-01-01,2026-04-28
BSX,BSX_0000000000-16-094201,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,332992,True,1,2016-01-01,2026-04-28
BXP,BXP_0000000000-17-016099,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,152306,True,1,2016-01-01,2026-04-28
BXP,BXP_0000000000-18-024571,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,340204,True,1,2016-01-01,2026-04-28
BXP,BXP_0000000000-22-009471,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,88431,True,1,2016-01-01,2026-04-28
BXP,BXP_0000000000-24-009655,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,119125,True,1,2016-01-01,2026-04-28
C,C_0000000000-16-082386,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,345218,True,32,2016-01-01,2026-04-28
C,C_0000000000-17-009750,"UPLOAD, CORRESP, CORRESP","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE",3,3,3,3,11,59334,True,32,2016-01-01,2026-04-28
C,C_0000000000-18-014255,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,39157,True,32,2016-01-01,2026-04-28
C,C_0000000000-19-012201,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,366925,True,32,2016-01-01,2026-04-28
C,C_0000000000-20-008961,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE",7,7,7,7,23,275297,True,32,2016-01-01,2026-04-28
C,C_0000000000-22-004745,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,286150,True,32,2016-01-01,2026-04-28
C,C_0000000000-24-006685,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,230389,True,32,2016-01-01,2026-04-28
CAH,,,,0,0,0,0,1,316718,True,0,,
CARR,CARR_0000000000-19-013211,"UPLOAD, UPLOAD, UPLOAD, CORRESP, UPLOAD, SEC STAFF ACTION, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP","STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, STAFF_ACTION, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE",12,12,12,12,38,280780,True,0,2016-01-01,2026-04-28
CARR,CARR_0000000000-24-006263,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,113635,True,0,2016-01-01,2026-04-28
CARR,CARR_0000000000-25-008021,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,41606,True,0,2016-01-01,2026-04-28
CASY,CASY_0000000000-23-001432,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",6,6,6,6,20,166862,True,0,2016-01-01,2026-04-28
CASY,CASY_0000000000-24-002104,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,102865,True,0,2016-01-01,2026-04-28
CAT,CAT_0000000000-17-022437,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,347695,True,1,2016-01-01,2026-04-28
CAT,CAT_0000000000-22-010513,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,106882,True,1,2016-01-01,2026-04-28
CAT,CAT_0000000000-24-002665,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,101096,True,1,2016-01-01,2026-04-28
CB,CB_0000000000-16-084378,"UPLOAD, CORRESP, CORRESP, UPLOAD, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, STAFF_LETTER",5,5,5,5,17,231033,True,1,2016-01-01,2026-04-28
CB,CB_0000000000-17-027038,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,416698,True,1,2016-01-01,2026-04-28
CB,CB_0000000000-19-007690,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,121761,True,1,2016-01-01,2026-04-28
CB,CB_0000000000-22-009599,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,74859,True,1,2016-01-01,2026-04-28
CCI,CCI_0000000000-17-015547,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,75526,True,1,2016-01-01,2026-04-28
CCI,CCI_0000000000-24-002292,"UPLOAD, UPLOAD, UPLOAD, UPLOAD, CORRESP, UPLOAD, UPLOAD, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",12,12,12,12,38,440729,True,1,2016-01-01,2026-04-28
CCI,CCI_0000000000-25-005508,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,94702,True,1,2016-01-01,2026-04-28
CDNS,CDNS_0000000000-23-011586,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,107034,True,1,2016-01-01,2026-04-28
CEG,CEG_0000000000-21-010325,"UPLOAD, UPLOAD, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP, SEC STAFF ACTION","STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_ACTION",10,10,10,10,32,269990,True,0,2016-01-01,2026-04-28
CHRW,CHRW_0000000000-20-011939,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,86586,True,1,2016-01-01,2026-04-28
CIEN,CIEN_0000000000-16-069477,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,194851,True,1,2016-01-01,2026-04-28
CIEN,CIEN_0000000000-17-024065,"UPLOAD, CORRESP","STAFF_LETTER, FILER_RESPONSE",2,2,2,2,8,189397,True,1,2016-01-01,2026-04-28
CIEN,CIEN_0000000000-18-004375,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,102330,True,1,2016-01-01,2026-04-28
CIEN,CIEN_0000000000-20-003316,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,90261,True,1,2016-01-01,2026-04-28
CMS,,,,0,0,0,0,1,308261,True,0,,
COF,COF_0000000000-20-012214,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,237874,True,1,2016-01-01,2026-04-28
COF,COF_0000000000-22-010286,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,70862,True,1,2016-01-01,2026-04-28
COF,COF_0000000000-23-014108,"UPLOAD, CORRESP, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER",4,4,4,4,14,151344,True,1,2016-01-01,2026-04-28
COF,COF_0000000000-24-005698,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, CORRESP, UPLOAD, UPLOAD, CORRESP, CORRESP, CORRESP, CORRESP","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE",13,13,13,13,41,507429,True,1,2016-01-01,2026-04-28
CTSH,CTSH_0000000000-17-034709,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,232147,True,1,2016-01-01,2026-04-28
DASH,DASH_0000000000-20-002224,UPLOAD,STAFF_LETTER,1,1,1,1,5,67977,True,1,2016-01-01,2026-04-28
DASH,DASH_0000000000-20-007251,"UPLOAD, UPLOAD, UPLOAD, CORRESP, CORRESP, CORRESP, UPLOAD, CORRESP","STAFF_LETTER, STAFF_LETTER, STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE",8,8,8,8,26,318845,True,1,2016-01-01,2026-04-28
DASH,DASH_0000000000-22-000022,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",5,5,5,5,17,139687,True,1,2016-01-01,2026-04-28
DRI,DRI_0000000000-18-003836,"UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",3,3,3,3,11,163249,True,1,2016-01-01,2026-04-28
EA,EA_0000000000-19-011278,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",7,7,7,7,23,396999,True,1,2016-01-01,2026-04-28
EA,EA_9999999997-21-000527,"SEC STAFF LETTER, SEC STAFF LETTER","STAFF_LETTER, STAFF_LETTER",2,2,2,2,8,607865,True,1,2016-01-01,2026-04-28
EBAY,EBAY_0000000000-17-028776,"UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",7,7,7,7,23,473923,True,1,2016-01-01,2026-04-28
EBAY,EBAY_0000000000-18-030096,"UPLOAD, CORRESP, CORRESP, UPLOAD, CORRESP, UPLOAD","STAFF_LETTER, FILER_RESPONSE, FILER_RESPONSE, STAFF_LETTER, FILER_RESPONSE, STAFF_LETTER",6,6,6,6,20,463560,True,1,2016-01-01,2026-04-28
