ticker,thread_id,filing_sequence_in_thread,accession_number,filing_date,form,normalized_form,form_role,extraction_status,letter_word_count
A,A_0000000000-16-092800,1,0000000000-16-092800,2016-09-14,UPLOAD,STAFF_LETTER,event_anchor,ok,711
A,A_0000000000-16-092800,2,0001090872-16-000078,2016-09-23,CORRESP,FILER_RESPONSE,thread_context,ok,970
A,A_0000000000-16-092800,3,0000000000-16-095373,2016-09-30,UPLOAD,STAFF_LETTER,event_anchor,ok,198
ABBV,ABBV_0000000000-18-013671,1,0000000000-18-013671,2018-05-02,UPLOAD,STAFF_LETTER,event_anchor,ok,686
ABBV,ABBV_0000000000-18-013671,2,0001104659-18-032238,2018-05-10,CORRESP,FILER_RESPONSE,thread_context,ok,1273
ABBV,ABBV_0000000000-20-009552,1,0000000000-20-009552,2020-10-09,UPLOAD,STAFF_LETTER,event_anchor,ok,131
ABBV,ABBV_0000000000-20-009552,2,0001104659-20-114898,2020-10-14,CORRESP,FILER_RESPONSE,thread_context,ok,200
ABBV,ABBV_0000000000-20-009552,3,0001104659-20-114900,2020-10-14,CORRESP,FILER_RESPONSE,thread_context,ok,1199
ABBV,ABBV_0000000000-20-009552,4,0000000000-20-012305,2020-12-22,UPLOAD,STAFF_LETTER,event_anchor,ok,632
ABBV,ABBV_0000000000-20-009552,5,0001104659-21-004698,2021-01-15,CORRESP,FILER_RESPONSE,thread_context,ok,994
ABBV,ABBV_0000000000-20-009552,6,0000000000-21-003131,2021-03-16,UPLOAD,STAFF_LETTER,event_anchor,ok,274
ABBV,ABBV_0000000000-20-009552,7,0001104659-21-039166,2021-03-19,CORRESP,FILER_RESPONSE,thread_context,ok,355
ABBV,ABBV_0000000000-20-009552,8,0000000000-21-005685,2021-05-04,UPLOAD,STAFF_LETTER,event_anchor,ok,107
ABBV,ABBV_0000000000-22-010309,1,0000000000-22-010309,2022-09-20,UPLOAD,STAFF_LETTER,event_anchor,ok,399
ABBV,ABBV_0000000000-22-010309,2,0001104659-22-105695,2022-10-04,CORRESP,FILER_RESPONSE,thread_context,ok,802
ABBV,ABBV_0000000000-22-010309,3,0000000000-22-011560,2022-10-20,UPLOAD,STAFF_LETTER,event_anchor,ok,93
ADM,ADM_0000000000-17-044885,1,0000000000-17-044885,2017-12-22,UPLOAD,STAFF_LETTER,event_anchor,ok,570
ADM,ADM_0000000000-17-044885,2,0000007084-18-000005,2018-01-05,CORRESP,FILER_RESPONSE,thread_context,ok,639
ADM,ADM_0000000000-17-044885,3,0000000000-18-000913,2018-01-10,UPLOAD,STAFF_LETTER,event_anchor,ok,127
ADM,ADM_0000000000-20-007987,1,0000000000-20-007987,2020-08-25,UPLOAD,STAFF_LETTER,event_anchor,ok,613
ADM,ADM_0000000000-20-007987,2,0000007084-20-000029,2020-09-08,CORRESP,FILER_RESPONSE,thread_context,ok,1024
ADM,ADM_0000000000-20-007987,3,0000000000-20-008734,2020-09-16,UPLOAD,STAFF_LETTER,event_anchor,ok,353
ADM,ADM_0000000000-20-007987,4,0000007084-20-000031,2020-10-21,CORRESP,FILER_RESPONSE,thread_context,ok,453
ADM,ADM_0000000000-20-007987,5,0000000000-20-010270,2020-10-29,UPLOAD,STAFF_LETTER,event_anchor,ok,110
ADM,ADM_0000000000-21-013296,1,0000000000-21-013296,2021-11-02,UPLOAD,STAFF_LETTER,event_anchor,ok,309
ADM,ADM_0000000000-21-013296,2,0000007084-21-000041,2021-11-10,CORRESP,FILER_RESPONSE,thread_context,ok,364
ADM,ADM_0000000000-21-013296,3,0000000000-21-013719,2021-11-12,UPLOAD,STAFF_LETTER,event_anchor,ok,95
ADM,ADM_0000000000-24-005934,1,0000000000-24-005934,2024-05-22,UPLOAD,STAFF_LETTER,event_anchor,ok,760
ADM,ADM_0000000000-24-005934,2,0001193125-24-149010,2024-05-29,CORRESP,FILER_RESPONSE,thread_context,ok,190
ADM,ADM_0000000000-24-005934,3,0001193125-24-159925,2024-06-12,CORRESP,FILER_RESPONSE,thread_context,ok,3739
ADM,ADM_0000000000-24-005934,4,0000000000-24-010044,2024-09-05,UPLOAD,STAFF_LETTER,event_anchor,ok,423
ADM,ADM_0000000000-24-005934,5,0001193125-24-215905,2024-09-09,CORRESP,FILER_RESPONSE,thread_context,ok,206
ADM,ADM_0000000000-24-005934,6,0001193125-24-228530,2024-09-30,CORRESP,FILER_RESPONSE,thread_context,ok,914
ADM,ADM_0000000000-24-005934,7,0000000000-24-012212,2024-11-01,UPLOAD,STAFF_LETTER,event_anchor,ok,331
ADM,ADM_0000000000-24-005934,8,0001193125-24-255986,2024-11-12,CORRESP,FILER_RESPONSE,thread_context,ok,535
ADM,ADM_0000000000-24-005934,9,0001193125-24-260674,2024-11-18,CORRESP,FILER_RESPONSE,thread_context,ok,412
ADM,ADM_0000000000-24-005934,10,0000000000-24-013950,2024-12-18,UPLOAD,STAFF_LETTER,event_anchor,ok,87
ADSK,ADSK_0000000000-17-022741,1,0000000000-17-022741,2017-06-28,UPLOAD,STAFF_LETTER,event_anchor,ok,628
ADSK,ADSK_0000000000-17-022741,2,0000769397-17-000039,2017-07-17,CORRESP,FILER_RESPONSE,thread_context,ok,1111
ADSK,ADSK_0000000000-17-022741,3,0000000000-17-025513,2017-07-20,UPLOAD,STAFF_LETTER,event_anchor,ok,126
ADSK,ADSK_0000000000-18-024031,1,0000000000-18-024031,2018-08-03,UPLOAD,STAFF_LETTER,event_anchor,ok,608
ADSK,ADSK_0000000000-18-024031,2,0000769397-18-000031,2018-08-16,CORRESP,FILER_RESPONSE,thread_context,ok,288
ADSK,ADSK_0000000000-18-024031,3,0000769397-18-000044,2018-09-04,CORRESP,FILER_RESPONSE,thread_context,ok,3664
ADSK,ADSK_0000000000-18-024031,4,0000000000-18-033224,2018-10-23,UPLOAD,STAFF_LETTER,event_anchor,ok,282
ADSK,ADSK_0000000000-18-024031,5,0000769397-18-000047,2018-11-06,CORRESP,FILER_RESPONSE,thread_context,ok,2608
ADSK,ADSK_0000000000-18-024031,6,0000000000-18-038827,2018-12-20,UPLOAD,STAFF_LETTER,event_anchor,ok,487
ADSK,ADSK_0000000000-18-024031,7,0000769397-18-000059,2018-12-21,CORRESP,FILER_RESPONSE,thread_context,ok,295
ADSK,ADSK_0000000000-18-024031,8,0001193125-19-029194,2019-02-06,CORRESP,FILER_RESPONSE,thread_context,ok,4249
ADSK,ADSK_0000000000-18-024031,9,0000000000-19-003464,2019-02-28,UPLOAD,STAFF_LETTER,event_anchor,ok,104
AFL,AFL_0000000000-16-074172,1,0000000000-16-074172,2016-04-28,UPLOAD,STAFF_LETTER,event_anchor,ok,647
AFL,AFL_0000000000-16-074172,2,0000004977-16-000316,2016-05-11,CORRESP,FILER_RESPONSE,thread_context,ok,4507
AFL,AFL_0000000000-16-074172,3,0000000000-16-080147,2016-06-10,UPLOAD,STAFF_LETTER,event_anchor,ok,433
AFL,AFL_0000000000-16-074172,4,0000004977-16-000336,2016-06-23,CORRESP,FILER_RESPONSE,thread_context,ok,1852
AFL,AFL_0000000000-16-074172,5,0000000000-16-082561,2016-06-29,UPLOAD,STAFF_LETTER,event_anchor,ok,171
AFL,AFL_0000000000-17-014838,1,0000000000-17-014838,2017-04-28,UPLOAD,STAFF_LETTER,event_anchor,ok,297
AFL,AFL_0000000000-17-014838,2,0000004977-17-000123,2017-05-11,CORRESP,FILER_RESPONSE,thread_context,ok,1737
AFL,AFL_0000000000-17-014838,3,0000000000-17-017789,2017-05-22,UPLOAD,STAFF_LETTER,event_anchor,ok,101
AFL,AFL_0000000000-23-008707,1,0000000000-23-008707,2023-08-10,UPLOAD,STAFF_LETTER,event_anchor,ok,129
AFL,AFL_0000000000-23-008707,2,0001104659-23-097061,2023-08-31,CORRESP,FILER_RESPONSE,thread_context,ok,149
AJG,AJG_0000000000-16-075772,1,0000000000-16-075772,2016-05-10,UPLOAD,STAFF_LETTER,event_anchor,ok,566
AJG,AJG_0000000000-16-075772,2,0001193125-16-600460,2016-05-24,CORRESP,FILER_RESPONSE,thread_context,ok,2314
AJG,AJG_0000000000-16-075772,3,0001193125-16-626618,2016-06-20,CORRESP,FILER_RESPONSE,thread_context,ok,463
AJG,AJG_0000000000-16-075772,4,0000000000-16-082083,2016-06-27,UPLOAD,STAFF_LETTER,event_anchor,ok,178
AJG,AJG_0000000000-16-102009,1,0000000000-16-102009,2016-11-22,UPLOAD,STAFF_LETTER,event_anchor,ok,142
AJG,AJG_0000000000-16-102009,2,0001193125-16-775202,2016-11-22,CORRESP,FILER_RESPONSE,thread_context,ok,160
AJG,AJG_0000000000-22-012653,1,0000000000-22-012653,2022-11-22,UPLOAD,STAFF_LETTER,event_anchor,ok,129
AJG,AJG_0000000000-22-012653,2,0001193125-22-291217,2022-11-22,CORRESP,FILER_RESPONSE,thread_context,ok,156
AJG,AJG_0000000000-24-002978,1,0000000000-24-002978,2024-03-19,UPLOAD,STAFF_LETTER,event_anchor,ok,460
AJG,AJG_0000000000-24-002978,2,0001193125-24-084779,2024-04-02,CORRESP,FILER_RESPONSE,thread_context,ok,6430
AJG,AJG_0000000000-24-010451,1,0000000000-24-010451,2024-09-16,UPLOAD,STAFF_LETTER,event_anchor,ok,91
ALL,ALL_0000000000-17-014470,1,0000000000-17-014470,2017-04-26,UPLOAD,STAFF_LETTER,event_anchor,ok,324
ALL,ALL_0000000000-17-014470,2,0000899051-17-000015,2017-05-09,CORRESP,FILER_RESPONSE,thread_context,ok,2937
ALL,ALL_0000000000-17-014470,3,0000000000-17-019850,2017-06-07,UPLOAD,STAFF_LETTER,event_anchor,ok,539
ALL,ALL_0000000000-17-014470,4,0000899051-17-000036,2017-06-20,CORRESP,FILER_RESPONSE,thread_context,ok,595
ALL,ALL_0000000000-17-014470,5,0000000000-17-022466,2017-06-27,UPLOAD,STAFF_LETTER,event_anchor,ok,101
ALL,ALL_0000000000-18-011843,1,0000000000-18-011843,2018-04-18,UPLOAD,STAFF_LETTER,event_anchor,ok,569
ALL,ALL_0000000000-18-011843,2,0000899051-18-000019,2018-05-01,CORRESP,FILER_RESPONSE,thread_context,ok,2490
ALL,ALL_0000000000-18-011843,3,0000000000-18-016804,2018-05-31,UPLOAD,STAFF_LETTER,event_anchor,ok,368
ALL,ALL_0000000000-18-011843,4,0000899051-18-000033,2018-06-13,CORRESP,FILER_RESPONSE,thread_context,ok,926
ALL,ALL_0000000000-18-011843,5,0000000000-18-021109,2018-07-10,UPLOAD,STAFF_LETTER,event_anchor,ok,93
ALL,ALL_0000000000-21-003670,1,0000000000-21-003670,2021-03-26,UPLOAD,STAFF_LETTER,event_anchor,ok,564
ALL,ALL_0000000000-21-003670,2,0000899051-21-000022,2021-04-02,CORRESP,FILER_RESPONSE,thread_context,ok,1065
ALL,ALL_0000000000-21-003670,3,0000000000-21-004859,2021-04-20,UPLOAD,STAFF_LETTER,event_anchor,ok,109
AMT,AMT_0000000000-16-074877,1,0000000000-16-074877,2016-05-04,UPLOAD,STAFF_LETTER,event_anchor,ok,432
AMT,AMT_0000000000-16-074877,2,0000000000-16-075942,2016-05-11,UPLOAD,STAFF_LETTER,event_anchor,ok,173
AMT,AMT_0000000000-16-074877,3,0001053507-16-000037,2016-05-11,CORRESP,FILER_RESPONSE,thread_context,ok,455
AMT,AMT_0000000000-18-008426,1,0000000000-18-008426,2018-03-19,UPLOAD,STAFF_LETTER,event_anchor,ok,382
AMT,AMT_0000000000-18-008426,2,0001053507-18-000016,2018-03-30,CORRESP,FILER_RESPONSE,thread_context,ok,1032
AMT,AMT_0000000000-18-008426,3,0000000000-18-009874,2018-04-02,UPLOAD,STAFF_LETTER,event_anchor,ok,108
AMT,AMT_0000000000-23-002236,1,0000000000-23-002236,2023-03-07,UPLOAD,STAFF_LETTER,event_anchor,ok,302
AMT,AMT_0000000000-23-002236,2,0001053507-23-000094,2023-03-28,CORRESP,FILER_RESPONSE,thread_context,ok,226
AMT,AMT_0000000000-23-002236,3,0001053507-23-000098,2023-03-31,CORRESP,FILER_RESPONSE,thread_context,ok,1288
AMT,AMT_0000000000-23-002236,4,0000000000-23-003498,2023-04-07,UPLOAD,STAFF_LETTER,event_anchor,ok,99
AON,AON_0000000000-17-045347,1,0000000000-17-045347,2017-12-29,UPLOAD,STAFF_LETTER,event_anchor,ok,576
AON,AON_0000000000-17-045347,2,0001193125-18-010012,2018-01-12,CORRESP,FILER_RESPONSE,thread_context,ok,2271
AON,AON_0000000000-17-045347,3,0000000000-18-003393,2018-01-30,UPLOAD,STAFF_LETTER,event_anchor,ok,350
AON,AON_0000000000-17-045347,4,0001193125-18-100977,2018-03-29,CORRESP,FILER_RESPONSE,thread_context,ok,1115
AON,AON_0000000000-17-045347,5,0000000000-18-010487,2018-04-06,UPLOAD,STAFF_LETTER,event_anchor,ok,136
AON,AON_0000000000-18-025493,1,0000000000-18-025493,2018-08-16,UPLOAD,STAFF_LETTER,event_anchor,ok,491
AON,AON_0000000000-18-025493,2,0001193125-18-263714,2018-08-30,CORRESP,FILER_RESPONSE,thread_context,ok,2366
AON,AON_0000000000-18-025493,3,0000000000-18-031485,2018-10-05,UPLOAD,STAFF_LETTER,event_anchor,ok,88
AON,AON_0000000000-19-006947,1,0000000000-19-006947,2019-04-10,UPLOAD,STAFF_LETTER,event_anchor,ok,91
AON,AON_0000000000-20-004858,1,0000000000-20-004858,2020-06-01,UPLOAD,STAFF_LETTER,event_anchor,ok,393
AON,AON_0000000000-20-004858,2,0001193125-20-167220,2020-06-12,CORRESP,FILER_RESPONSE,thread_context,ok,807
AON,AON_0000000000-20-004858,3,0000000000-20-005449,2020-06-18,UPLOAD,STAFF_LETTER,event_anchor,ok,95
AON,AON_0000000000-22-013878,1,0000000000-22-013878,2022-12-23,UPLOAD,STAFF_LETTER,event_anchor,ok,583
AON,AON_0000000000-22-013878,2,0001193125-23-005574,2023-01-10,CORRESP,FILER_RESPONSE,thread_context,ok,4982
AON,AON_0000000000-22-013878,3,0000000000-23-000824,2023-01-25,UPLOAD,STAFF_LETTER,event_anchor,ok,94
AON,AON_0000000000-24-003147,1,0000000000-24-003147,2024-03-22,UPLOAD,STAFF_LETTER,event_anchor,ok,571
AON,AON_0000000000-24-003147,2,0001193125-24-082095,2024-03-29,CORRESP,FILER_RESPONSE,thread_context,ok,1803
AON,AON_0000000000-24-003147,3,0001193125-24-100967,2024-04-18,CORRESP,FILER_RESPONSE,thread_context,ok,1102
AON,AON_0000000000-24-003147,4,0001193125-24-103048,2024-04-19,CORRESP,FILER_RESPONSE,thread_context,ok,220
APP,APP_0000000000-20-012628,1,0000000000-20-012628,2020-12-31,UPLOAD,STAFF_LETTER,event_anchor,ok,1779
APP,APP_0000000000-20-012628,2,0000000000-21-001014,2021-01-27,UPLOAD,STAFF_LETTER,event_anchor,ok,698
APP,APP_0000000000-20-012628,3,0001193125-21-069370,2021-03-04,CORRESP,FILER_RESPONSE,thread_context,ok,3075
APP,APP_0000000000-20-012628,4,0000000000-21-003287,2021-03-18,UPLOAD,STAFF_LETTER,event_anchor,ok,1377
APP,APP_0000000000-20-012628,5,0001193125-21-089670,2021-03-22,CORRESP,FILER_RESPONSE,thread_context,ok,3631
APP,APP_0000000000-20-012628,6,0000000000-21-003877,2021-03-31,UPLOAD,STAFF_LETTER,event_anchor,ok,616
APP,APP_0000000000-20-012628,7,0001193125-21-108121,2021-04-07,CORRESP,FILER_RESPONSE,thread_context,ok,1031
APP,APP_0000000000-20-012628,8,0001193125-21-114256,2021-04-13,CORRESP,FILER_RESPONSE,thread_context,ok,265
APP,APP_0000000000-20-012628,9,0001193125-21-114260,2021-04-13,CORRESP,FILER_RESPONSE,thread_context,ok,400
APP,APP_0000000000-21-013958,1,0000000000-21-013958,2021-11-17,UPLOAD,STAFF_LETTER,event_anchor,ok,446
APP,APP_0000000000-21-013958,2,0001193125-21-340633,2021-11-24,CORRESP,FILER_RESPONSE,thread_context,ok,1345
APP,APP_0000000000-21-013958,3,0001193125-21-346658,2021-12-02,CORRESP,FILER_RESPONSE,thread_context,ok,263
APP,APP_0000000000-21-013958,4,0001193125-21-346661,2021-12-02,CORRESP,FILER_RESPONSE,thread_context,ok,432
AVY,AVY_0000000000-18-009394,1,0000000000-18-009394,2018-03-28,UPLOAD,STAFF_LETTER,event_anchor,ok,451
AVY,AVY_0000000000-18-009394,2,0001104659-18-021749,2018-04-02,CORRESP,FILER_RESPONSE,thread_context,ok,160
AVY,AVY_0000000000-18-009394,3,0001104659-18-028354,2018-04-30,CORRESP,FILER_RESPONSE,thread_context,ok,575
AVY,AVY_0000000000-18-009394,4,0000000000-18-013669,2018-05-02,UPLOAD,STAFF_LETTER,event_anchor,ok,130
AVY,AVY_0000000000-23-003698,1,0000000000-23-003698,2023-04-13,UPLOAD,STAFF_LETTER,event_anchor,ok,541
AVY,AVY_0000000000-23-003698,2,0000008818-23-000010,2023-05-16,CORRESP,FILER_RESPONSE,thread_context,ok,1102
AVY,AVY_0000000000-23-003698,3,0000000000-23-005412,2023-05-22,UPLOAD,STAFF_LETTER,event_anchor,ok,97
BBY,BBY_0000000000-16-088191,1,0000000000-16-088191,2016-08-10,UPLOAD,STAFF_LETTER,event_anchor,ok,1245
BBY,BBY_0000000000-16-088191,2,0000764478-16-000086,2016-08-23,CORRESP,FILER_RESPONSE,thread_context,ok,2544
BBY,BBY_0000000000-16-088191,3,0000000000-16-092986,2016-09-15,UPLOAD,STAFF_LETTER,event_anchor,ok,170
BKR,BKR_0000000000-17-014455,1,0000000000-17-014455,2017-04-26,UPLOAD,STAFF_LETTER,event_anchor,ok,3353
BKR,BKR_0000000000-17-014455,2,0001193125-17-163634,2017-05-09,CORRESP,FILER_RESPONSE,thread_context,ok,6850
BKR,BKR_0000000000-17-014455,3,0000000000-17-017985,2017-05-23,UPLOAD,STAFF_LETTER,event_anchor,ok,464
BKR,BKR_0000000000-17-014455,4,0001193125-17-182757,2017-05-25,CORRESP,FILER_RESPONSE,thread_context,ok,1406
BKR,BKR_0000000000-17-014455,5,0001193125-17-185516,2017-05-26,CORRESP,FILER_RESPONSE,thread_context,ok,375
BKR,BKR_0000000000-18-030596,1,0000000000-18-030596,2018-09-27,UPLOAD,STAFF_LETTER,event_anchor,ok,321
BKR,BKR_0000000000-18-030596,2,0000950103-18-011810,2018-10-09,CORRESP,FILER_RESPONSE,thread_context,ok,896
BKR,BKR_0000000000-18-030596,3,0000000000-18-033329,2018-10-24,UPLOAD,STAFF_LETTER,event_anchor,ok,102
BKR,BKR_0000000000-24-008308,1,0000000000-24-008308,2024-07-23,UPLOAD,STAFF_LETTER,event_anchor,ok,513
BKR,BKR_0000000000-24-008308,2,0001193125-24-192949,2024-08-02,CORRESP,FILER_RESPONSE,thread_context,ok,741
BKR,BKR_0000000000-24-008308,3,0000000000-24-009305,2024-08-14,UPLOAD,STAFF_LETTER,event_anchor,ok,472
BKR,BKR_0000000000-24-008308,4,0001193125-24-206169,2024-08-23,CORRESP,FILER_RESPONSE,thread_context,ok,605
BKR,BKR_0000000000-24-008308,5,0000000000-24-009829,2024-08-29,UPLOAD,STAFF_LETTER,event_anchor,ok,91
BRK-B,BRK-B_0000000000-16-092092,1,0000000000-16-092092,2016-09-09,UPLOAD,STAFF_LETTER,event_anchor,ok,571
BRK-B,BRK-B_0000000000-16-092092,2,0001193125-16-709771,2016-09-14,CORRESP,FILER_RESPONSE,thread_context,ok,218
